F1,F3,F4,F5,F6,F7,Number of Records,Population
Region/,Confirmed,Suspected,,,,1,
,,,,Confirmed,,1,"(10,000s)"
City,cases,cases,Deaths,,Deaths,1,
,,,,cases,,1,
Hubei,630,631,96,64084,2346,1,5917
Guangdong,3,0,1,1342,6,1,11346
Henan,1,12,0,1271,19,1,9605
Zhejiang,0,2,0,1205,1,1,5737
Hunan,3,0,0,1016,4,1,6899
Anhui,0,0,0,989,6,1,6324
Jiangxi,0,0,0,934,1,1,4648
Shandong,4,2,0,754,4,1,10047
Jiangsu,0,0,0,631,0,1,8051
Chongqing,1,21,0,573,6,1,3102
Sichuan,0,15,0,526,3,1,8341
Heilongjiang,1,0,0,480,12,1,3773
Beijing,0,35,0,399,4,1,2154
Shanghai,1,52,0,335,3,1,2424
Hebei,2,0,0,311,6,1,7556
Fujian,0,0,0,293,1,1,3941
Guangxi,0,12,0,249,2,1,4926
Shaanxi,0,2,0,245,1,1,3864
Yunnan,0,11,0,174,2,1,4830
Hainan,0,14,0,168,4,1,934
Guizhou,0,0,0,146,2,1,3600
Tianjin,2,51,0,135,3,1,1560
Shanxi,0,1,0,132,0,1,3718
Liaoning,0,13,0,121,1,1,4359
Jilin,0,7,0,91,1,1,2704
Gansu,0,0,0,91,2,1,2637
Xinjiang,0,0,0,76,2,1,2487
Inner Mongolia,0,0,0,75,0,1,2534
Ningxia,0,1,0,71,0,1,688
Hong Kong SAR,2,0,0,70,2,1,745
Taipei and environs,0,0,0,26,1,1,2359
Qinghai,0,0,0,18,0,1,603
Macao SAR,0,0,0,10,0,1,66
Xizang,0,0,0,1,0,1,344
Total,650,882,97,77042,2445,1,142823
