F1,F3,F4,F5,F6,F7,Number of Records,Population
Region/,Confirmed,Suspected,,,,1,
,,,,Confirmed,,1,"(10,000s)"
City,cases*,cases,Deaths,,Deaths,1,
,,,,cases,,1,
Hubei,1933,909,100,58182,1696,1,5917
Guangdong,6,1,2,1322,4,1,11346
Henan,15,112,3,1246,16,1,9605
Zhejiang,4,13,0,1171,0,1,5737
Hunan,2,14,0,1006,3,1,6899
Anhui,11,9,0,973,6,1,6324
Jiangxi,5,2,0,930,1,1,4648
Jiangsu,9,3,0,626,0,1,8051
Chongqing,7,63,0,551,5,1,3102
Shandong,4,21,0,541,2,1,10047
Sichuan,14,40,0,495,3,1,8341
Heilongjiang,12,27,0,457,11,1,3773
Beijing,1,33,0,381,4,1,2154
Shanghai,3,67,0,331,1,1,2424
Hebei,1,2,0,301,3,1,7556
Fujian,3,3,0,290,0,1,3941
Shaanxi,4,15,0,240,0,1,3864
Guangxi,1,26,0,238,2,1,4926
Yunnan,2,22,0,171,0,1,4830
Hainan,0,27,0,162,4,1,934
Guizhou,2,2,0,146,1,1,3600
Shanxi,1,5,0,129,0,1,3718
Tianjin,2,88,0,124,3,1,1560
Liaoning,1,45,0,121,1,1,4359
Gansu,1,0,0,91,2,1,2637
Jilin,0,9,0,89,1,1,2704
Xinjiang,2,2,0,73,1,1,2487
Inner Mongolia,2,3,0,72,0,1,2534
Ningxia,0,0,0,70,0,1,688
Hong Kong SAR,1,0,0,57,1,1,745
Taipei and environs,2,0,1,20,1,1,2359
Qinghai,0,0,0,18,0,1,603
Macao SAR,0,0,0,10,0,1,66
Xizang,0,0,0,1,0,1,344
Total,2051,1563,106,70635,1772,1,142823
