F1,F3,F4,F5,F6,F7,Number of Records,Population
Region/,,,,,,1,
,Confirmed,Suspected,,Confirmed,,1,"(10,000s)"
City,cases,cases,Deaths,,Deaths,1,
,,,,cases,,1,
Hubei,398,450,149,64287,2495,1,5917
Guangdong,3,0,0,1345,6,1,11346
Henan,0,9,0,1271,19,1,9605
Zhejiang,0,5,0,1205,1,1,5737
Hunan,0,1,0,1016,4,1,6899
Anhui,0,0,0,989,6,1,6324
Jiangxi,0,0,0,934,1,1,4648
Shandong,1,1,0,755,4,1,10047
Jiangsu,0,0,0,631,0,1,8051
Chongqing,2,8,0,575,6,1,3102
Sichuan,1,8,0,527,3,1,8341
Heilongjiang,0,0,0,480,12,1,3773
Beijing,0,30,0,399,4,1,2154
Shanghai,0,36,0,335,3,1,2424
Hebei,0,0,0,311,6,1,7556
Fujian,0,1,0,293,1,1,3941
Guangxi,2,4,0,251,2,1,4926
Shaanxi,0,0,0,245,1,1,3864
Yunnan,0,7,0,174,2,1,4830
Hainan,0,10,1,168,5,1,934
Guizhou,0,2,0,146,2,1,3600
Tianjin,0,22,0,135,3,1,1560
Shanxi,0,4,0,132,0,1,3718
Liaoning,0,15,0,121,1,1,4359
Jilin,2,7,0,93,1,1,2704
Gansu,0,0,0,91,2,1,2637
Xinjiang,0,0,0,76,2,1,2487
Inner Mongolia,0,0,0,75,0,1,2534
Hong Kong SAR,4,0,0,74,2,1,745
Ningxia,0,0,0,71,0,1,688
Taipei and environs,2,0,0,28,1,1,2359
Qinghai,0,0,0,18,0,1,603
Macao SAR,0,0,0,10,0,1,66
Xizang,0,0,0,1,0,1,344
Total,415,620,150,77262,2595,1,142823
