F1,F3,F4,F5,F6,F7,Number of Records,Population
Region/,Confirmed,Suspected,,,,1,
,,,,Confirmed,,1,"(10,000s)"
City,cases*,cases,Deaths,,Deaths,1,
,,,,cases,,1,
Hubei,1807,788,93,59989,1789,1,5917
Guangdong,6,0,0,1328,4,1,11346
Henan,11,102,3,1257,19,1,9605
Zhejiang,1,15,0,1172,0,1,5737
Hunan,1,15,1,1007,4,1,6899
Anhui,9,7,0,982,6,1,6324
Jiangxi,3,0,0,933,1,1,4648
Jiangsu,3,4,0,629,0,1,8051
Chongqing,2,50,0,553,5,1,3102
Shandong,2,17,0,543,2,1,10047
Sichuan,13,28,0,508,3,1,8341
Heilongjiang,7,32,0,464,11,1,3773
Beijing,6,49,0,387,4,1,2154
Shanghai,2,65,0,333,1,1,2424
Hebei,1,1,1,302,4,1,7556
Fujian,2,2,0,292,0,1,3941
Guangxi,4,21,0,242,2,1,4926
Shaanxi,0,22,0,240,0,1,3864
Yunnan,1,18,0,172,0,1,4830
Hainan,1,22,0,163,4,1,934
Guizhou,0,2,0,146,1,1,3600
Shanxi,1,6,0,130,0,1,3718
Tianjin,1,83,0,125,3,1,1560
Liaoning,0,64,0,121,1,1,4359
Gansu,0,0,0,91,2,1,2637
Jilin,0,14,0,89,1,1,2704
Xinjiang,1,1,0,76,1,1,2487
Inner Mongolia,1,0,0,73,0,1,2534
Ningxia,0,4,0,70,0,1,688
Hong Kong SAR,3,0,0,60,1,1,745
Taipei and environs,2,0,0,22,1,1,2359
Qinghai,0,0,0,18,0,1,603
Macao SAR,0,0,0,10,0,1,66
Xizang,0,0,0,1,0,1,344
Total,1891,1432,98,72528,1870,1,142823
