F1,F3,F4,F5,F6,F7,Number of Records,Population
Region/,Confirmed,Suspected,,,,1,
,,,,Confirmed,,1,"(10,000s)"
City,cases,cases,Deaths,,Deaths,1,
,,,,cases,,1,
Hubei,631,1279,115,62662,2144,1,5917
Guangdong,1,1,0,1333,5,1,11346
Henan,2,31,0,1267,19,1,9605
Zhejiang,28,4,1,1203,1,1,5737
Hunan,1,5,0,1011,4,1,6899
Anhui,1,1,0,988,6,1,6324
Jiangxi,0,0,0,934,1,1,4648
Shandong,202,14,0,748,4,1,10047
Jiangsu,0,1,0,631,0,1,8051
Chongqing,7,28,1,567,6,1,3102
Sichuan,5,15,0,525,3,1,8341
Heilongjiang,3,1,0,479,12,1,3773
Beijing,1,41,0,396,4,1,2154
Shanghai,1,62,0,334,2,1,2424
Hebei,1,0,0,308,5,1,7556
Fujian,0,0,0,293,1,1,3941
Guangxi,1,15,0,246,2,1,4926
Shaanxi,0,8,0,245,1,1,3864
Yunnan,2,21,1,174,2,1,4830
Hainan,0,16,0,168,4,1,934
Guizhou,0,3,0,146,2,1,3600
Shanxi,1,5,0,132,0,1,3718
Tianjin,1,37,0,131,3,1,1560
Liaoning,0,20,0,121,1,1,4359
Jilin,0,4,0,91,1,1,2704
Gansu,0,1,0,91,2,1,2637
Xinjiang,0,0,0,76,1,1,2487
Inner Mongolia,0,0,0,75,0,1,2534
Ningxia,0,1,0,71,0,1,688
Hong Kong SAR,3,0,0,68,2,1,745
Taipei and environs,2,0,0,26,1,1,2359
Qinghai,0,0,0,18,0,1,603
Macao SAR,0,0,0,10,0,1,66
Xizang,0,0,0,1,0,1,344
Total,894,1614,118,75569,2239,1,142823
