F1,F3,F4,F5,F6,F7,Number of Records,Population
Region/,Confirmed,Suspected,,,,1,
,,,,Confirmed,,1,"(10,000s)"
City,cases*,cases,Deaths,,Deaths,1,
,,,,cases,,1,
Hubei,1693,596,132,61682,1921,1,5917
Guangdong,3,1,1,1331,5,1,11346
Henan,5,121,0,1262,19,1,9605
Zhejiang,1,9,0,1173,0,1,5737
Hunan,1,12,0,1008,4,1,6899
Anhui,4,0,0,986,6,1,6324
Jiangxi,1,0,0,934,1,1,4648
Jiangsu,2,0,0,631,0,1,8051
Chongqing,2,41,0,555,5,1,3102
Shandong,1,8,1,544,3,1,10047
Sichuan,6,30,0,514,3,1,8341
Heilongjiang,6,21,1,470,12,1,3773
Beijing,6,58,0,393,4,1,2154
Shanghai,0,78,0,333,1,1,2424
Hebei,4,0,0,306,4,1,7556
Fujian,1,4,0,293,0,1,3941
Guangxi,2,12,0,244,2,1,4926
Shaanxi,2,19,0,242,0,1,3864
Yunnan,1,16,0,173,0,1,4830
Hainan,0,14,0,163,4,1,934
Guizhou,0,2,1,146,2,1,3600
Shanxi,1,3,0,131,0,1,3718
Tianjin,3,62,0,128,3,1,1560
Liaoning,0,64,0,121,1,1,4359
Gansu,0,0,0,91,2,1,2637
Jilin,1,11,0,90,1,1,2704
Xinjiang,0,0,0,76,1,1,2487
Inner Mongolia,2,3,0,75,0,1,2534
Ningxia,1,0,0,71,0,1,688
Hong Kong SAR,2,0,0,62,1,1,745
Taipei and environs,1,0,0,23,1,1,2359
Qinghai,0,0,0,18,0,1,603
Macao SAR,0,0,0,10,0,1,66
Xizang,0,0,0,1,0,1,344
Total,1752,1185,136,74280,2006,1,142823
